Category,Symptom
IT Support / Desktop Support / Software Issue,Toronto office printer error
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / Software Issue,"Need to install RSA, Cisco any connect secure mobility clinet, teradata sql assistant, zoom"
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / Display,Fan Noise and Display lines issue
IT Support / Desktop Support / Internet / VPN not connecting,not able to connect to vpn.
IT Support / Desktop Support / Software Issue,"Need to install RSA,CISCO any connect,teradata sql assistant and zoom"
IT Support / Desktop Support / Laptop / Display,laptop display is not working
IT Support / Desktop Support / Software Issue,Unable to login to Zoom with tredence account
IT Support / Desktop Support / Internet / VPN not connecting,Unable to establish VPN connection
IT Support / Desktop Support / Software Issue,Jupyter Notebook Not working.
IT Support / Desktop Support / User Profile / Password Expired,Password to be changed.
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN
IT Support / Desktop Support / Software Issue,Unable to access Remote Desktop
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,password expired not able to connect vpn
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop Issue
IT Support / Desktop Support / Software Issue,Need to install Dell peripheral manager
IT Support / Desktop Support / Software Issue,Facing issue with node version
IT Support / Desktop Support / Software Issue,Azure Data Studio remote Access issue
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,"Unable to connect to Wifi, Password Expired"
IT Support / Desktop Support / Internet / VPN not connecting,Can't connect to VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting7200 Error
IT Support / Desktop Support / User Profile / Password Expired,Unable to login to system with new Password
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Facing issue while connecting to FortiClient
IT Support / Desktop Support / User Profile / Account Lockout,Unable to Update Password
IT Support / Desktop Support / Internet / VPN not connecting,Facing issue with Forti client VPN
IT Support / Desktop Support / Laptop / System Boot-up,Unable to turn on the Laptop . Tried connecting to charger and charging it still unable to turn it on
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Unable to use client teams account in MS Teams.
IT Support / Desktop Support / Software Issue,Most of Time VPN stays unreachable
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop Issue
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Request to reinstall Authenticator app
IT Support / Desktop Support / Laptop / System Boot-up,Tredence Laptop Password not working
IT Support / Desktop Support / User Profile / Account Lockout,Hari prasad is not able to login to his account (hari.prasad@tredence.com)
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,I'm looking to upgrade my laptop's RAM from 8GB to 16GB specifically to improve performance while using business intelligence (BI) tools.
IT Support / Desktop Support / Software Issue,Request to install software as administrator for VPN Connectivity
IT Support / Desktop Support / Laptop / Display,The display is flickering and it went black screen for 5 minutes today.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,App gate issue
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptop Battery Drain and Panel Crack.
IT Support / Desktop Support / Software Issue,Need to configure the forti client vpn
IT Support / Desktop Support / Software Issue,unable to login into success factor
IT Support / Desktop Support / Software Issue,Unable to access Citrix.
IT Support / Desktop Support / Software Issue,Are people experiencing Concur problems today?
IT Support / Desktop Support / Internet / VPN not connecting,Fortclient Install
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to FortiClient
IT Support / Desktop Support / Software Issue,New joiner details | DOJ - 05/03/2024
IT Support / Desktop Support / User Profile / Password Expired,Unable to Access Internet
IT Support / Desktop Support / Software Issue,Remote Desktop not working
IT Support / Desktop Support / Software Issue,Docker desktop not working.
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect VPN
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Office WIfi Password is not connecting
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop is not starting
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Software Issue,Request to install Visio
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN issue
IT Support / Desktop Support / Software Issue,Need to set Microsoft authenticator app on new mobile
IT Support / Desktop Support / Internet / VPN not connecting,VPN connectivity
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop Charging issue
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect with forti client vpn
IT Support / Desktop Support / User Profile / Account Lockout,Updated Designation is not displaying.
IT Support / Desktop Support / Software Issue,Need to install Tableau Trail version for learning purpose
IT Support / Desktop Support / Software Issue,unable to create python environment.
IT Support / Desktop Support / Internet / VPN not connecting,I am not able to connect to the VPN (both Airtel and Tata) since yesterday. Request you to look into this since it is impacting my work.
IT Support / Desktop Support / Software Issue,Unable to access IT service desk
IT Support / Desktop Support / Software Issue,Sharepoint access Issues
IT Support / Desktop Support / Software Issue,OneDrive
IT Support / Desktop Support / Software Issue,Permission to access Client Sharefile Portal
IT Support / Desktop Support / Software Issue,VS Code Extension is not installing
IT Support / Desktop Support / Software Issue,VDI Issue
IT Support / Desktop Support / Internet / VPN not connecting,Regarding Configuration of VPN using FortiMobile app
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Software Issue,REQ to install ZTNA in local machine for P&G
IT Support / Desktop Support / User Profile / Account Lockout,Account is disabled need to enable the account
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop issue
IT Support / Desktop Support / User Profile / Password Expired,Password reset issue
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Can I get MS SQL server installed in my local system which i need for development purpose.
IT Support / Desktop Support / Software Issue,Allocation-TransID#4510/FIXED/AssetID#6979 - Asset Allocation Mail Alert - Location: Pune-India\Pune - Store
IT Support / Desktop Support / Laptop / System Performance,System slow
IT Support / Desktop Support / Software Issue,Software Installation
IT Support / Desktop Support / Software Issue,OneNote
IT Support / Desktop Support / Software Issue,Docker desktop is asking for admin login to get started.
IT Support / Desktop Support / Software Issue,Unable to connect to the VPN
IT Support / Desktop Support / Software Issue,I have tried installing Prettier Extension for VS Code Software. But I am not able to install it.
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop Screen Frozen
IT Support / Desktop Support / User Profile / Password Expired,Unable to change my laptop's password & not able to connect to the VPN
IT Support / Desktop Support / Software Issue,Laptop has a part sticking out
IT Support / Desktop Support / Laptop / System Boot-up,My friend's laptop OS has crashed. He has to work in night shift.
IT Support / Desktop Support / O365 Issue / Outlook Issue,Browser Not Working
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Account is locked not able to connect WIFI
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
